question_id,source_file,question,reference_answer,generated_answer,rouge_l,semantic_similarity,grounding_score,latency_seconds,cache_hit,out_of_domain,model,memory_strategy,evaluated_model
1,octopus_test_set.json,ما الظاهرة التي يحاول البحث تفسيرها في بداية الحلقة؟,الانفجار الكامبري,حدث خطأ أثناء توليد الإجابة. من فضلك حاول مرة أخرى لاحقا.,0.0,0.2833130955696106,0.2727272727272727,43.638402462005615,False,False,primary_failed,sliding,Groq
2,octopus_test_set.json,منذ متى حدث الانفجار الكامبري تقريبًا؟,منذ حوالي 541 مليون سنة,حدث خطأ أثناء توليد الإجابة. من فضلك حاول مرة أخرى لاحقا.,0.0,0.22363492846488953,0.18181818181818182,1.321930170059204,False,False,primary_failed,sliding,Groq
3,octopus_test_set.json,ما الفرضية التي تقترح أن سبب الانفجار الكامبري ليس أرضيًا؟,أن السبب قد يكون كونيًا مثل فيروسات أو مواد جاءت من الفضاء,"لا توجد معلومات كافية في النص للإجابة عن هذا السؤال.

(في النص الموجود، لا يوجد ذكر للانفجار الكامبري أو الفرضيات المتعلقة به.)",0.05882352941176471,0.3282209038734436,0.21052631578947367,0.583310604095459,False,False,llama-3.1-8b-instant,sliding,Groq
4,octopus_test_set.json,لماذا لم يقبل العلماء فرضية الأصل الفضائي للأخطبوط؟,لعدم وجود دليل مباشر,"لا توجد معلومات كافية في النص للإجابة عن هذا السؤال.

( Source: الأخطبوط  الدحيح | Rank: 1 )",0.0,0.39498648047447205,0.26666666666666666,42.93407225608826,False,False,llama-3.1-8b-instant,sliding,Groq
5,octopus_test_set.json,إلى أي شعبة ينتمي الأخطبوط؟,الرخويات,"ينتمي الأخطبوط إلى شعبة راسيات الأرجل.

الأخطبوط  الدحيح | Rank: 1",0.0,0.39454224705696106,0.1111111111111111,45.1003315448761,False,False,llama-3.1-8b-instant,sliding,Groq
6,octopus_test_set.json,ما اسم الكيس الذي يحتوي على أعضاء الأخطبوط الداخلية؟,Mantle,حدث خطأ أثناء توليد الإجابة. من فضلك حاول مرة أخرى لاحقا.,0.0,0.19668395817279816,0.18181818181818182,44.48329019546509,False,False,primary_failed,sliding,Groq
7,octopus_test_set.json,ما سبب اللون الأزرق لدم الأخطبوط؟,لاحتوائه على بروتين الهيموسيانين,حدث خطأ أثناء توليد الإجابة. من فضلك حاول مرة أخرى لاحقا.,0.0,0.1737397313117981,0.18181818181818182,0.2190995216369629,False,False,primary_failed,sliding,Groq
8,octopus_test_set.json,كيف يتمكن الأخطبوط من تغيير شكله ولونه للتمويه؟,باستخدام خلايا جلدية تغير اللون والملمس,حدث خطأ أثناء توليد الإجابة. من فضلك حاول مرة أخرى لاحقا.,0.0,0.06645255535840988,0.2727272727272727,0.20439410209655762,False,False,primary_failed,sliding,Groq
9,octopus_test_set.json,أين توجد معظم الخلايا العصبية في جسم الأخطبوط؟,في أذرعه,حدث خطأ أثناء توليد الإجابة. من فضلك حاول مرة أخرى لاحقا.,0.0,0.3168782591819763,0.36363636363636365,0.21310639381408691,False,False,primary_failed,sliding,Groq
10,octopus_test_set.json,لماذا يمكن اعتبار أذرع الأخطبوط شبه مستقلة عن الدماغ؟,لأن لكل ذراع نظامًا عصبيًا خاصًا به,حدث خطأ أثناء توليد الإجابة. من فضلك حاول مرة أخرى لاحقا.,0.0,0.10006934404373169,0.2727272727272727,0.21991610527038574,False,False,primary_failed,sliding,Groq
11,physics_movement_test_set.json,ماذا تعكس فكرة التغير المستمر عند الفلاسفة حول طبيعة المادة؟,كل مادة من دول بتتحرك وبتتحول طول الوقت,حدث خطأ أثناء توليد الإجابة. من فضلك حاول مرة أخرى لاحقا.,0.10526315789473685,0.05640178546309471,0.18181818181818182,0.21554303169250488,False,False,primary_failed,sliding,Groq
12,physics_movement_test_set.json,ما الخاصية التي جعلت النار نموذجًا مناسبًا عند هيرقليطس؟,بسبب حركتها المجنونة والمستمرة,حدث خطأ أثناء توليد الإجابة. من فضلك حاول مرة أخرى لاحقا.,0.0,0.2578010559082031,0.09090909090909091,0.2204141616821289,False,False,primary_failed,sliding,Groq
13,physics_movement_test_set.json,كيف يمكن تفسير أهمية الحركة في رؤية الفلاسفة الأوائل للكون؟,الحركة هي عصب الوجود بالكامل,حدث خطأ أثناء توليد الإجابة. من فضلك حاول مرة أخرى لاحقا.,0.0,0.03217935934662819,0.09090909090909091,0.21776700019836426,False,False,primary_failed,sliding,Groq
14,physics_movement_test_set.json,ما الوظيفة الأساسية للدماغ وفق تفسير دانيال وولبرت؟,وهي إنتاج سلسلة من الحركات المعقدة,حدث خطأ أثناء توليد الإجابة. من فضلك حاول مرة أخرى لاحقا.,0.11764705882352942,0.1581285297870636,0.2727272727272727,0.26277995109558105,False,False,primary_failed,sliding,Groq
15,physics_movement_test_set.json,ما نوع الاستجابة التي اعتمد عليها الإنسان في البيئات الخطرة قديمًا؟,كان بيتحرك وبيهرب، بيجري,حدث خطأ أثناء توليد الإجابة. من فضلك حاول مرة أخرى لاحقا.,0.0,0.3052419424057007,0.2727272727272727,0.2201220989227295,False,False,primary_failed,sliding,Groq
16,physics_movement_test_set.json,كيف وصف زينون حقيقة الحركة؟,لا توجد حركة أصلًا,حدث خطأ أثناء توليد الإجابة. من فضلك حاول مرة أخرى لاحقا.,0.0,0.1585509032011032,0.09090909090909091,0.24159765243530273,False,False,primary_failed,sliding,Groq
17,physics_movement_test_set.json,ماذا يحدث عند الاستمرار في تقسيم المسافة إلى أجزاء أصغر؟,هنفضل ننصص إلى ما لانهاية,حدث خطأ أثناء توليد الإجابة. من فضلك حاول مرة أخرى لاحقا.,0.0,0.30321815609931946,0.18181818181818182,0.21616172790527344,False,False,primary_failed,sliding,Groq
18,physics_movement_test_set.json,ما النتيجة التي توصل إليها زينون بخصوص تغير العالم؟,العالم حولنا ثابت، لا يتغير,حدث خطأ أثناء توليد الإجابة. من فضلك حاول مرة أخرى لاحقا.,0.0,0.061177808791399,0.18181818181818182,0.2513256072998047,False,False,primary_failed,sliding,Groq
19,physics_movement_test_set.json,كيف فسر زينون الإحساس بالحركة؟,هو مجرد وهم جاي من حواس بتخدعنا,حدث خطأ أثناء توليد الإجابة. من فضلك حاول مرة أخرى لاحقا.,0.1111111111111111,0.18161213397979736,0.09090909090909091,0.25881290435791016,False,False,primary_failed,sliding,Groq
20,physics_movement_test_set.json,ما التطور الرياضي الذي ساعد في حل مفارقات الحركة؟,حطوا أسس التفاضل والتكامل,حدث خطأ أثناء توليد الإجابة. من فضلك حاول مرة أخرى لاحقا.,0.0,0.28510501980781555,0.2727272727272727,0.26731133460998535,False,False,primary_failed,sliding,Groq
21,physics_movement_test_set.json,كيف تفسر الرياضيات إمكانية جمع عدد لا نهائي من الأجزاء؟,مجموع هذه الأجزاء بيساوي قيمة معيّنة,حدث خطأ أثناء توليد الإجابة. من فضلك حاول مرة أخرى لاحقا.,0.0,0.1516571342945099,0.18181818181818182,0.21488094329833984,False,False,primary_failed,sliding,Groq
22,physics_movement_test_set.json,ما الذي يحدث لحركة الجسم في غياب القوى المقاومة؟,بتفضل تتحرك من غير ما تقف,حدث خطأ أثناء توليد الإجابة. من فضلك حاول مرة أخرى لاحقا.,0.11764705882352942,0.3308844268321991,0.09090909090909091,0.21509289741516113,False,False,primary_failed,sliding,Groq
23,samurai_test_set.json,ما المعنى الأصلي لكلمة ساموراي في اللغة اليابانية؟,الذي يخدم,حدث خطأ أثناء توليد الإجابة. من فضلك حاول مرة أخرى لاحقا.,0.0,0.2977108955383301,0.09090909090909091,0.4699573516845703,False,False,primary_failed,sliding,Groq
24,samurai_test_set.json,كيف كان ارتباط الساموراي بالبنية الإقطاعية في بداياتهم؟,خدمة الإمبراطور أو السادة الإقطاعيين,حدث خطأ أثناء توليد الإجابة. من فضلك حاول مرة أخرى لاحقا.,0.0,0.20077483355998993,0.18181818181818182,0.24886560440063477,False,False,primary_failed,sliding,Groq
25,samurai_test_set.json,ما التحول الذي حدث في وظيفة الساموراي مع تطور دورهم؟,تحولوا إلى حراس شخصيين للإقطاعيين,حدث خطأ أثناء توليد الإجابة. من فضلك حاول مرة أخرى لاحقا.,0.0,0.07206328213214874,0.18181818181818182,0.20734095573425293,False,False,primary_failed,sliding,Groq
26,samurai_test_set.json,ما السبب في تحول احترام الناس للساموراي إلى خوف؟,كانوا يمتلكون السلاح ويفرضون النظام بالقوة,"لا توجد معلومات كافية في النص للإجابة عن هذا السؤال.

(لا توجد معلومات كافية في النص للإجابة عن هذا السؤال.)",0.0,0.043325699865818024,0.4,0.9749016761779785,False,False,llama-3.1-8b-instant,sliding,Groq
27,samurai_test_set.json,كيف عزز الساموراي مكانتهم داخل المجتمع؟,الزواج من عائلات نبيلة وتوريث مهنة القتال لأبنائهم,حدث خطأ أثناء توليد الإجابة. من فضلك حاول مرة أخرى لاحقا.,0.10526315789473685,0.03954625502228737,0.18181818181818182,0.20690202713012695,False,False,primary_failed,sliding,Groq
28,samurai_test_set.json,ما التغير السياسي الذي رفع مكانة الساموراي؟,أول حكم عسكري مركزي في تاريخ اليابان,"حصل تغيير سياسي كبير في سنة 1185، لما قائد عسكري فذ اسمه ""ميناموتو نو يوريتومو"" قدر يحكم ""اليابان"" بعد حروب دموية طويلة.

source: الساموراي  الدحيح | Rank: 5",0.11764705882352941,0.6908700466156006,0.6666666666666666,34.941640853881836,False,False,llama-3.1-8b-instant,sliding,Groq
29,samurai_test_set.json,ماذا حدث لدور الإمبراطور بعد ظهور الحكم العسكري؟,الإمبراطور فضل موجود في قصره كرمز ديني مقدس,"بعد ظهور الحكم العسكري، الامبراطور فضل موجود في قصره كرمز ديني مقدس، ولكن السلطة الحقيقية بقت في ايد ال""شوجن"" والساموراي بتوعه.

(الساموراي  الدحيح | Rank: 1)",0.3529411764705882,0.7857874631881714,0.8,46.763948917388916,False,False,llama-3.1-8b-instant,sliding,Groq
30,samurai_test_set.json,ما طبيعة التهديد الذي واجه اليابان؟,هجوم المغول على اليابان,حدث خطأ أثناء توليد الإجابة. من فضلك حاول مرة أخرى لاحقا.,0.0,0.10385943204164505,0.18181818181818182,47.61737823486328,False,False,primary_failed,sliding,Groq
31,samurai_test_set.json,كيف تغيّر أسلوب القتال بعد مواجهة المغول؟,ابتدوا يتعلموا يحاربوا في تشكيلات,"بعد مواجهة المغول، تغيّر أسلوب القتال للساموراي بشكل كبير. بدأوا يتعلمون القتال في تشكيلات، وبدأوا يطوروا سيوفهم واسلحتهم. كما بدأوا يبنوا تحصينات واسوار حجرية كبيرة، مثل سور ""خليج (هاكاتا)"". هذا التغيير كان نتيجة للاستفادة من درس مهم من معركة المغول، حيث أدرك الساموراي أن الشجاعة الفردية لا تكفي في مواجهة القوة العسكرية المتقدمة.

(الساموراي الدحيح | Rank: 1)",0.03225806451612903,0.627768874168396,0.6,0.6333465576171875,False,False,llama-3.1-8b-instant,sliding,Groq
