question_id,source_file,question,reference_answer,generated_answer,semantic_similarity,grounding_score,bert_score,latency_seconds,cache_hit,out_of_domain,model,memory_strategy,evaluated_model
1,octopus_test_set.json,ما الظاهرة التي يحاول البحث تفسيرها في بداية الحلقة؟,الانفجار الكامبري,حدث خطأ أثناء توليد الإجابة. من فضلك حاول مرة أخرى لاحقا.,0.2833130955696106,0.2727272727272727,0.6602028608322144,43.91802477836609,False,False,primary_failed,sliding,Groq
2,octopus_test_set.json,منذ متى حدث الانفجار الكامبري تقريبًا؟,منذ حوالي 541 مليون سنة,"لا توجد معلومات كافية في النص للإجابة عن هذا السؤال.

[Source: الساموراي  الدحيح | Rank: 1]",0.2259957194328308,0.4,0.5178138017654419,0.6910519599914551,False,False,llama-3.1-8b-instant,sliding,Groq
3,octopus_test_set.json,ما الفرضية التي تقترح أن سبب الانفجار الكامبري ليس أرضيًا؟,أن السبب قد يكون كونيًا مثل فيروسات أو مواد جاءت من الفضاء,"لا توجد معلومات كافية في النص للإجابة عن هذا السؤال.

(في النص لا يوجد أي ذكر للانفجار الكامبري أو الفرضيات المتعلقة به.)",0.3241410553455353,0.21052631578947367,0.6466512084007263,37.67950654029846,False,False,llama-3.1-8b-instant,sliding,Groq
4,octopus_test_set.json,لماذا لم يقبل العلماء فرضية الأصل الفضائي للأخطبوط؟,لعدم وجود دليل مباشر,"لا توجد معلومات كافية في النص للإجابة عن هذا السؤال.

[Source: الأخطبوط  الدحيح | Rank: 1]",0.5072176456451416,0.26666666666666666,0.6247392296791077,42.285727739334106,False,False,llama-3.1-8b-instant,sliding,Groq
5,octopus_test_set.json,إلى أي شعبة ينتمي الأخطبوط؟,الرخويات,"ينتمي الأخطبوط إلى شعبة راسيات الأرجل.

الأخطبوط  الدحيح | Rank: 1",0.39454224705696106,0.1111111111111111,0.6231118440628052,43.93720531463623,False,False,llama-3.1-8b-instant,sliding,Groq
6,octopus_test_set.json,ما اسم الكيس الذي يحتوي على أعضاء الأخطبوط الداخلية؟,Mantle,"معلقة.

source: الأخطبوط  الدحيح | Rank: 1",0.33946871757507324,0.0,0.5997903943061829,43.031835079193115,False,False,llama-3.1-8b-instant,sliding,Groq
7,octopus_test_set.json,ما سبب اللون الأزرق لدم الأخطبوط؟,لاحتوائه على بروتين الهيموسيانين,حدث خطأ أثناء توليد الإجابة. من فضلك حاول مرة أخرى لاحقا.,0.1737397313117981,0.18181818181818182,0.662542998790741,0.4363243579864502,False,False,primary_failed,sliding,Groq
8,octopus_test_set.json,كيف يتمكن الأخطبوط من تغيير شكله ولونه للتمويه؟,باستخدام خلايا جلدية تغير اللون والملمس,حدث خطأ أثناء توليد الإجابة. من فضلك حاول مرة أخرى لاحقا.,0.06645255535840988,0.2727272727272727,0.6731492280960083,0.4264655113220215,False,False,primary_failed,sliding,Groq
9,octopus_test_set.json,أين توجد معظم الخلايا العصبية في جسم الأخطبوط؟,في أذرعه,حدث خطأ أثناء توليد الإجابة. من فضلك حاول مرة أخرى لاحقا.,0.3168782591819763,0.36363636363636365,0.6851974725723267,0.42888712882995605,False,False,primary_failed,sliding,Groq
10,octopus_test_set.json,لماذا يمكن اعتبار أذرع الأخطبوط شبه مستقلة عن الدماغ؟,لأن لكل ذراع نظامًا عصبيًا خاصًا به,حدث خطأ أثناء توليد الإجابة. من فضلك حاول مرة أخرى لاحقا.,0.10006934404373169,0.2727272727272727,0.6558048725128174,0.4221203327178955,False,False,primary_failed,sliding,Groq
11,physics_movement_test_set.json,ماذا تعكس فكرة التغير المستمر عند الفلاسفة حول طبيعة المادة؟,كل مادة من دول بتتحرك وبتتحول طول الوقت,حدث خطأ أثناء توليد الإجابة. من فضلك حاول مرة أخرى لاحقا.,0.05640178546309471,0.18181818181818182,0.617499828338623,0.38951826095581055,False,False,primary_failed,sliding,Groq
12,physics_movement_test_set.json,ما الخاصية التي جعلت النار نموذجًا مناسبًا عند هيرقليطس؟,بسبب حركتها المجنونة والمستمرة,حدث خطأ أثناء توليد الإجابة. من فضلك حاول مرة أخرى لاحقا.,0.2578010559082031,0.09090909090909091,0.6666753888130188,0.7212643623352051,False,False,primary_failed,sliding,Groq
13,physics_movement_test_set.json,كيف يمكن تفسير أهمية الحركة في رؤية الفلاسفة الأوائل للكون؟,الحركة هي عصب الوجود بالكامل,حدث خطأ أثناء توليد الإجابة. من فضلك حاول مرة أخرى لاحقا.,0.03217935934662819,0.09090909090909091,0.6857789158821106,0.39590024948120117,False,False,primary_failed,sliding,Groq
14,physics_movement_test_set.json,ما الوظيفة الأساسية للدماغ وفق تفسير دانيال وولبرت؟,وهي إنتاج سلسلة من الحركات المعقدة,حدث خطأ أثناء توليد الإجابة. من فضلك حاول مرة أخرى لاحقا.,0.1581285297870636,0.2727272727272727,0.6865306496620178,0.4128098487854004,False,False,primary_failed,sliding,Groq
15,physics_movement_test_set.json,ما نوع الاستجابة التي اعتمد عليها الإنسان في البيئات الخطرة قديمًا؟,كان بيتحرك وبيهرب، بيجري,حدث خطأ أثناء توليد الإجابة. من فضلك حاول مرة أخرى لاحقا.,0.3052419424057007,0.2727272727272727,0.6515975594520569,0.41478896141052246,False,False,primary_failed,sliding,Groq
16,physics_movement_test_set.json,كيف وصف زينون حقيقة الحركة؟,لا توجد حركة أصلًا,حدث خطأ أثناء توليد الإجابة. من فضلك حاول مرة أخرى لاحقا.,0.1585509032011032,0.09090909090909091,0.6771621108055115,0.39934206008911133,False,False,primary_failed,sliding,Groq
17,physics_movement_test_set.json,ماذا يحدث عند الاستمرار في تقسيم المسافة إلى أجزاء أصغر؟,هنفضل ننصص إلى ما لانهاية,حدث خطأ أثناء توليد الإجابة. من فضلك حاول مرة أخرى لاحقا.,0.30321815609931946,0.18181818181818182,0.6766865849494934,0.42754220962524414,False,False,primary_failed,sliding,Groq
18,physics_movement_test_set.json,ما النتيجة التي توصل إليها زينون بخصوص تغير العالم؟,العالم حولنا ثابت، لا يتغير,حدث خطأ أثناء توليد الإجابة. من فضلك حاول مرة أخرى لاحقا.,0.061177808791399,0.18181818181818182,0.6442963480949402,0.7387580871582031,False,False,primary_failed,sliding,Groq
19,physics_movement_test_set.json,كيف فسر زينون الإحساس بالحركة؟,هو مجرد وهم جاي من حواس بتخدعنا,حدث خطأ أثناء توليد الإجابة. من فضلك حاول مرة أخرى لاحقا.,0.18161213397979736,0.09090909090909091,0.6700592637062073,0.4706451892852783,False,False,primary_failed,sliding,Groq
20,physics_movement_test_set.json,ما التطور الرياضي الذي ساعد في حل مفارقات الحركة؟,حطوا أسس التفاضل والتكامل,حدث خطأ أثناء توليد الإجابة. من فضلك حاول مرة أخرى لاحقا.,0.28510501980781555,0.2727272727272727,0.6949476599693298,0.44266462326049805,False,False,primary_failed,sliding,Groq
21,physics_movement_test_set.json,كيف تفسر الرياضيات إمكانية جمع عدد لا نهائي من الأجزاء؟,مجموع هذه الأجزاء بيساوي قيمة معيّنة,حدث خطأ أثناء توليد الإجابة. من فضلك حاول مرة أخرى لاحقا.,0.1516571342945099,0.18181818181818182,0.6459970474243164,0.4247002601623535,False,False,primary_failed,sliding,Groq
22,physics_movement_test_set.json,ما الذي يحدث لحركة الجسم في غياب القوى المقاومة؟,بتفضل تتحرك من غير ما تقف,حدث خطأ أثناء توليد الإجابة. من فضلك حاول مرة أخرى لاحقا.,0.3308844268321991,0.09090909090909091,0.6816457509994507,0.42617177963256836,False,False,primary_failed,sliding,Groq
23,samurai_test_set.json,ما المعنى الأصلي لكلمة ساموراي في اللغة اليابانية؟,الذي يخدم,حدث خطأ أثناء توليد الإجابة. من فضلك حاول مرة أخرى لاحقا.,0.2977108955383301,0.09090909090909091,0.7038655877113342,0.4038078784942627,False,False,primary_failed,sliding,Groq
